Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/26/2024,06/26/2024,Payment Thank You-Mobile,,Payment,11.81,
06/24/2024,06/25/2024,Spotify USA,Bills & Utilities,Sale,-11.81,
05/27/2024,05/27/2024,Payment Thank You-Mobile,,Payment,53.13,
05/24/2024,05/26/2024,Spotify USA,Bills & Utilities,Sale,-11.81,
05/18/2024,05/19/2024,AMZN Mktp US*YY04V53D3,Shopping,Sale,-41.32,
05/19/2024,05/19/2024,Payment Thank You-Mobile,,Payment,8.56,
05/16/2024,05/17/2024,Amazon Prime,Bills & Utilities,Return,1.07,
05/16/2024,05/17/2024,AMZN Mktp US*FC7HY3793,Shopping,Sale,-7.51,
05/15/2024,05/16/2024,Amazon Prime*ST3WB56I3,Bills & Utilities,Sale,-2.12,
04/29/2024,04/29/2024,Payment Thank You-Mobile,,Payment,11.81,
04/24/2024,04/25/2024,Spotify USA,Bills & Utilities,Sale,-11.81,
04/15/2024,04/15/2024,Payment Thank You-Mobile,,Payment,42.56,
04/07/2024,04/07/2024,Amazon.com*FI3I91C13,Shopping,Sale,-42.56,
04/01/2024,04/01/2024,Payment Thank You-Mobile,,Payment,11.81,
03/24/2024,03/25/2024,Spotify USA,Bills & Utilities,Sale,-11.81,
03/13/2024,03/13/2024,Payment Thank You-Mobile,,Payment,16.74,
03/06/2024,03/07/2024,AMZN Mktp US*RN28N1AU2,Shopping,Sale,-16.74,
03/03/2024,03/03/2024,Payment Thank You-Mobile,,Payment,11.81,
02/24/2024,02/25/2024,Spotify USA,Bills & Utilities,Sale,-11.81,
02/15/2024,02/15/2024,Payment Thank You-Mobile,,Payment,298.52,
02/13/2024,02/14/2024,AMZN Mktp US*RI8OS75S0,Shopping,Sale,-63.43,
02/10/2024,02/11/2024,AMZN Mktp US*RI8NZ9F60,Shopping,Sale,-223.28,
01/24/2024,01/25/2024,Spotify USA,Bills & Utilities,Sale,-11.81,
01/19/2024,01/19/2024,Payment Thank You-Mobile,,Payment,150.48,
01/14/2024,01/14/2024,Payment Thank You-Mobile,,Payment,26.85,
01/12/2024,01/14/2024,Amazon.com*RT1GK2Y50,Shopping,Sale,-150.48,
01/08/2024,01/09/2024,AMZN Mktp US*TK9BV6B51,Shopping,Sale,-26.85,
12/29/2023,12/29/2023,Payment Thank You-Mobile,,Payment,194.55,
12/24/2023,12/25/2023,Spotify USA,Bills & Utilities,Sale,-11.81,
12/23/2023,12/24/2023,AMZN Mktp US*LJ7PW8J33,Shopping,Sale,-182.74,
12/20/2023,12/20/2023,Payment Thank You-Mobile,,Payment,147.43,
12/15/2023,12/15/2023,Payment Thank You-Mobile,,Payment,41.24,
12/14/2023,12/15/2023,AMZN Mktp US*F34XX6CT3,Shopping,Sale,-147.43,
12/08/2023,12/10/2023,AMZN Mktp US*AS5FZ5OT3,Shopping,Sale,-28.94,
12/08/2023,12/10/2023,AMZN Mktp US*VX8V622L3,Shopping,Sale,-12.30,
11/29/2023,11/29/2023,Payment Thank You-Mobile,,Payment,38.89,
11/24/2023,11/26/2023,Spotify USA,Bills & Utilities,Sale,-11.81,
11/14/2023,11/15/2023,Amazon.com*KH67P2JB3,Shopping,Sale,-27.08,
11/15/2023,11/15/2023,Payment Thank You-Mobile,,Payment,127.13,
11/01/2023,11/02/2023,Amazon.com*U78W245Z3,Shopping,Sale,-127.13,
10/31/2023,10/31/2023,Payment Thank You-Mobile,,Payment,130.05,
10/24/2023,10/25/2023,Spotify USA,Bills & Utilities,Sale,-11.81,
09/24/2023,09/25/2023,Spotify USA,Bills & Utilities,Sale,-11.81,
09/19/2023,09/20/2023,AMZN Mktp US*TX1A566E0,Shopping,Sale,-106.43,
09/15/2023,09/15/2023,Payment Thank You-Mobile,,Payment,130.73,
09/12/2023,09/12/2023,AMZN Mktp US*TR8YF4S82,Shopping,Sale,-120.38,
09/11/2023,09/12/2023,AMZN Mktp US*TR6R19BW2,Shopping,Sale,-10.35,
08/27/2023,08/27/2023,Payment Thank You-Mobile,,Payment,263.71,
08/24/2023,08/25/2023,Spotify USA,Bills & Utilities,Sale,-11.81,
08/22/2023,08/23/2023,AMZN Mktp US*TQ66O9IR2,Shopping,Sale,-251.90,
08/15/2023,08/16/2023,Payment Thank You-Mobile,,Payment,204.88,
08/02/2023,08/03/2023,AMZN Mktp US*TH5Z29KH0,Shopping,Sale,-64.60,
08/01/2023,08/02/2023,Amazon.com*TH1DF8XW1,Shopping,Sale,-23.01,
07/30/2023,07/30/2023,AMZN Mktp US*TH7D21TL0,Shopping,Sale,-106.53,
07/24/2023,07/25/2023,Spotify USA,Bills & Utilities,Sale,-10.74,
07/24/2023,07/25/2023,Payment Thank You-Mobile,,Payment,77.21,
07/22/2023,07/23/2023,AMZN Mktp US*F47BP49U3,Shopping,Sale,-77.21,
07/14/2023,07/14/2023,Payment Thank You-Mobile,,Payment,33.87,
07/10/2023,07/11/2023,AMZN Mktp US*PW4FC36H3,Shopping,Sale,-23.13,
07/10/2023,07/10/2023,AUTOMATIC PAYMENT - THANK,,Payment,10.74,
06/24/2023,06/25/2023,Spotify USA,Bills & Utilities,Sale,-10.74,
05/24/2023,05/25/2023,SPOTIFY,Bills & Utilities,Sale,-10.74,
05/15/2023,05/15/2023,Payment Thank You-Mobile,,Payment,10.74,
04/24/2023,04/25/2023,SPOTIFY,Bills & Utilities,Sale,-10.74,
04/11/2023,04/11/2023,Payment Thank You-Mobile,,Payment,10.74,
03/24/2023,03/26/2023,SPOTIFY,Bills & Utilities,Sale,-10.74,
03/02/2023,03/02/2023,Payment Thank You-Mobile,,Payment,10.74,
02/24/2023,02/26/2023,SPOTIFY,Bills & Utilities,Sale,-10.74,
02/09/2023,02/09/2023,Payment Thank You - Web,,Payment,10.74,
01/24/2023,01/25/2023,SPOTIFY,Bills & Utilities,Sale,-10.74,
01/19/2023,01/19/2023,Payment Thank You-Mobile,,Payment,10.74,
12/24/2022,12/25/2022,SPOTIFY,Bills & Utilities,Sale,-10.74,
12/24/2022,12/25/2022,Payment Thank You-Mobile,,Payment,27.36,
12/17/2022,12/18/2022,AMZ*Twitch,Entertainment,Sale,-27.36,
12/01/2022,12/01/2022,Payment Thank You-Mobile,,Payment,10.88,
11/24/2022,11/25/2022,SPOTIFY,Bills & Utilities,Sale,-10.74,
10/24/2022,10/25/2022,SPOTIFY,Bills & Utilities,Sale,-10.74,
09/24/2022,09/25/2022,SPOTIFY,Bills & Utilities,Sale,-10.74,
08/21/2022,09/13/2022,NETFLIX.COM,Bills & Utilities,Return,21.34,
09/11/2022,09/11/2022,Payment Thank You-Mobile,,Payment,32.08,
08/24/2022,08/25/2022,SPOTIFY,Bills & Utilities,Sale,-10.74,
08/21/2022,08/22/2022,NETFLIX.COM,Bills & Utilities,Sale,-21.34,
08/16/2022,08/16/2022,Payment Thank You-Mobile,,Payment,108.99,
07/30/2022,07/31/2022,UBER   TRIP,Travel,Sale,-16.37,
07/30/2022,07/31/2022,UBER   TRIP,Travel,Sale,-81.88,
07/25/2022,07/25/2022,Payment Thank You-Mobile,,Payment,210.97,
07/24/2022,07/25/2022,SPOTIFY,Bills & Utilities,Sale,-10.74,
07/21/2022,07/22/2022,UBER   TRIP,Travel,Sale,-17.86,
07/21/2022,07/22/2022,UBER   TRIP,Travel,Sale,-81.88,
07/21/2022,07/22/2022,NETFLIX.COM,Bills & Utilities,Sale,-21.34,
07/21/2022,07/22/2022,UBER   TRIP,Travel,Sale,-8.18,
07/20/2022,07/21/2022,UBER   TRIP,Travel,Sale,-17.48,
07/20/2022,07/20/2022,UBER   TRIP,Travel,Sale,-27.15,
07/20/2022,07/20/2022,UBER   TRIP,Travel,Sale,-4.40,
07/20/2022,07/20/2022,UBER   TRIP,Travel,Sale,-32.68,
07/16/2022,07/17/2022,Payment Thank You-Mobile,,Payment,32.08,
